_type;_tags_shelter;_tags_public_transport;_tags_network;_tags_name;_tags_highway;_tags_departures_board;_tags_bus;_tags_bench;_lon;_lat;_id
node;;platform;;;bus_stop;;yes;;-73.2170096;-39.8445405;7679092265
node;;platform;;;bus_stop;;yes;;-73.2169385;-39.8434278;7679098799
node;;platform;;;bus_stop;;yes;;-73.230614;-39.8448435;7700521596
node;;platform;;;bus_stop;;yes;;-73.2312604;-39.8552098;7799519615
node;;platform;;;bus_stop;;yes;;-73.2321947;-39.8544425;7799519619
node;;platform;;;bus_stop;;yes;;-73.2298545;-39.8558702;7801765926
node;;platform;;;bus_stop;;yes;;-73.2278532;-39.853446;7802012871
node;;platform;;;bus_stop;;yes;;-73.229138;-39.8548077;7804970913
node;;platform;;;bus_stop;;yes;;-73.2312924;-39.8535479;7807640667
node;;platform;;;bus_stop;;yes;;-73.2303829;-39.8540583;7807735193
node;;platform;;;bus_stop;;yes;;-73.231306;-39.8510555;7866665744
node;yes;platform;;;bus_stop;;yes;no;-73.215261;-39.8246566;7876638402
node;;platform;;;bus_stop;;yes;;-73.2293109;-39.8521487;7885927839
node;;platform;;Paradero;bus_stop;;yes;;-73.2059482;-39.8344561;7902933385
node;;platform;;;bus_stop;;yes;;-73.227124;-39.8245038;8244074640
node;;platform;;;bus_stop;;yes;;-73.2244319;-39.8303033;8246230888
node;;platform;;;bus_stop;;yes;;-73.2175661;-39.7929113;8256065450
node;;platform;;Villa Hermosa;bus_stop;;yes;;-73.1995496;-39.8367217;8591730813
node;;platform;;Uruguay / Las Iris;bus_stop;;yes;;-73.2088286;-39.8207826;8655848270
node;;platform;;Circunvalación Oriente / Honduras;bus_stop;;yes;;-73.2097692;-39.8198376;8655848271
node;yes;platform;;;bus_stop;;yes;;-73.2293122;-39.8214638;8662655441
node;;platform;;;bus_stop;;yes;;-73.2206385;-39.8121914;8689230241
node;;platform;;Colombia / Los Dafnes;bus_stop;;yes;;-73.2080493;-39.8226432;8712172507
node;;platform;;Colombia / Tamarindos;bus_stop;;yes;;-73.2092345;-39.8221857;8712172508
node;;platform;;;bus_stop;;yes;;-73.2091615;-39.8045229;8865100870
node;yes;platform;;;bus_stop;;yes;;-73.2092747;-39.8066325;8867092700
node;;platform;;;bus_stop;;yes;;-73.2705695;-39.8328734;8916829023
node;;platform;;;bus_stop;;yes;;-73.2728208;-39.8356567;8916878237
node;;platform;;;bus_stop;;yes;;-73.2042412;-39.8277127;9225448718
node;;platform;;;bus_stop;;yes;;-73.2070103;-39.8274113;9225542189
node;;platform;;;bus_stop;;yes;;-73.2073052;-39.8273045;9225551730
node;;platform;;;bus_stop;;yes;;-73.2022285;-39.832201;9259005962
node;;platform;;;bus_stop;;yes;;-73.2062897;-39.8328299;9265566117
node;;platform;;;bus_stop;;yes;;-73.2064192;-39.8328217;9265566122
node;;platform;;;bus_stop;;yes;;-73.2057237;-39.8349842;9265566140
node;;platform;;;bus_stop;;yes;;-73.2071645;-39.8321558;9286834921
node;yes;platform;;;bus_stop;;yes;no;-73.2076201;-39.8480131;9294483549
node;;platform;;;bus_stop;;yes;;-73.2083978;-39.8286665;9325655035
node;;platform;;;bus_stop;;yes;;-73.2157147;-39.8071537;9337812532
node;yes;platform;;P84 - Picarte / Carlos Hilker;bus_stop;;yes;;-73.218471;-39.8312178;9341864436
node;yes;platform;;;bus_stop;;yes;no;-73.2030013;-39.8438975;9344059210
node;;platform;;;bus_stop;;yes;;-73.2174147;-39.8411461;9364617093
node;;platform;;La Mano;bus_stop;;yes;;-73.2159312;-39.8407843;9364617745
node;;platform;;;bus_stop;;yes;;-73.2174546;-39.8408093;9364617753
node;;platform;;;bus_stop;;yes;;-73.2095667;-39.8377747;9364783182
node;;platform;;;bus_stop;;yes;;-73.21147;-39.8391105;9364853999
node;;platform;;;bus_stop;;yes;;-73.2113372;-39.8391808;9364854000
node;;platform;;;bus_stop;;yes;;-73.2178032;-39.8402718;9365855256
node;yes;platform;;;bus_stop;;yes;no;-73.2116045;-39.8231416;9647047632
node;;platform;;;bus_stop;;yes;;-73.2093836;-39.8218098;9652583782
node;;platform;;;bus_stop;;yes;;-73.2367252;-39.8063011;9657445755
node;;platform;;;bus_stop;;yes;;-73.2441635;-39.8148442;9676102707
node;;platform;;;bus_stop;;yes;;-73.2101334;-39.8299247;9717273070
node;;platform;;;bus_stop;;yes;;-73.209882;-39.8299996;9717273087
node;;platform;;;bus_stop;;yes;;-73.2092149;-39.8307147;9717282356
node;yes;platform;;;bus_stop;;yes;no;-73.2103541;-39.8490495;9798149534
node;;platform;;;bus_stop;;yes;;-73.2114837;-39.8518144;9798292046
node;yes;platform;;;bus_stop;;yes;no;-73.2125295;-39.8539554;9798519725
node;;platform;;;bus_stop;;yes;;-73.2112447;-39.8330237;9849587018
node;yes;platform;;Ruta T-350 / Aromos de Torobayo;bus_stop;;yes;yes;-73.2868233;-39.842154;9875316219
node;no;platform;;Ruta T-350 / Colegio San Luis del Alba;bus_stop;no;yes;;-73.2860206;-39.8412705;9875316220
node;;platform;;Ruta T-350 / Cervecería Kunstmann;bus_stop;;yes;;-73.277304;-39.8374523;9879222961
node;;platform;;Ruta T-350 / Condominio El Bayo;bus_stop;;yes;;-73.2720441;-39.835503;9879222962
node;yes;platform;;P86 - Picarte / Cárdenas;bus_stop;;yes;no;-73.2171151;-39.832299;9892124547
node;no;platform;;P79 - Picarte / Huemul;bus_stop;;yes;;-73.2252115;-39.8257468;9892156049
node;yes;platform;;;bus_stop;;yes;;-73.2100401;-39.8492345;10037683061
node;yes;platform;;;bus_stop;;yes;;-73.2064344;-39.8475016;10047219744
node;yes;platform;;;bus_stop;;yes;;-73.2010898;-39.8451816;10048984033
node;yes;platform;;;bus_stop;;yes;;-73.1997763;-39.8462208;10048984056
node;yes;platform;;;bus_stop;;yes;;-73.2000028;-39.8462693;10048984057
node;;platform;;;bus_stop;;yes;;-73.2460772;-39.8415409;10263905257
