_type;_tags_wikipedia;_tags_wikidata;_tags_website;_tags_name;_tags_int_name;_tags_description;_tags_building;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_lon;_lat;_id
way;;;;Centro de Odontología de la Universidad Austral;;;;university;Santiago Bueras;Región de Los Ríos;885;Valdivia;CL;Valdivia;;;118152435
way;;;;Universidad Austral de Chile Campus Miraflores;;;;university;;;;;;;;;118152438
way;;;;Universidad San Sebastián;;;yes;university;General Lagos 1163;Región de Los Ríos;;Valdivia;CL;Valdivia;;;121785252
way;;;;Facultad de Filosofía y Humanidades (UACH);;;yes;university;General Lagos;Región de Los Ríos;;Valdivia;CL;Valdivia;;;125436477
way;;;;Conservatorio UACH;;;;university;General Lagos;;;;;Valdivia;;;136018322
way;;;;Centro de Formación Técnica Los Lagos Valdivia;;;;university;Pedro de Valdivia;Región de Los Ríos;403;Valdivia;CL;Valdivia;;;136018340
way;es:Universidad Austral de Chile;Q961982;;Universidad Austral de Chile;;;;university;;;;;;Valdivia;;;136115984
way;;;;;;;yes;university;;;;;;;;;275133145
way;;;;Universidad Santo Tomás;;;;university;Avenida Ramón Picarte;;1160;;;Valdivia;;;831193784
way;;;;Universidad San Sebastián;;;;university;General Lagos;Región de Los Ríos;1163;Valdivia;CL;Valdivia;;;950300965
way;;;;Universidad San Sebastián;;;;university;General Lagos;Región de Los Ríos;;Valdivia;CL;Valdivia;;;1312026971
