_type;_tags_source:addr;_tags_short_name;_tags_name;_tags_amenity;_tags_addr:street;_tags_addr:state;_tags_addr:housenumber;_tags_addr:district;_tags_addr:country;_tags_addr:city;_lon;_lat;_id
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio Juan XXIII de Temuco;school;Lagos;Región de La Araucanía;435;Temuco;CL;Temuco;-72.5927915;-38.7374466;8546389020
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela Particular de Adultos Getsemani;school;Curicó;Región de La Araucanía;940;Temuco;CL;Temuco;-72.5824582;-38.7443533;8549625571
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio Congregación Olivos;school;Callejón Kaffman;Región de La Araucanía;220;Temuco;CL;Temuco;-72.5662201;-38.7288643;8549627071
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela Especial Hablaarte;school;Avenida Valparaíso;Región de La Araucanía;725;Temuco;CL;Temuco;-72.5653385;-38.7339766;8549628078
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela Ami;school;Malvoa;Región de La Araucanía;920;Temuco;CL;Temuco;-72.5811984;-38.7444825;8549629824
node;www.sii.cl, Cartografía Digital SII Mapas;;Liceo Americo Vespucio;school;Bramante;Región de La Araucanía;1967;Temuco;CL;Temuco;-72.6342936;-38.7562411;8564230695
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio de Jóvenes y Adultos Ceia la Haya;school;Ravena;Región de La Araucanía;2031;Temuco;CL;Temuco;-72.6165083;-38.7556121;8565705469
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio Nueva Concepción;school;Porvenir;Región de La Araucanía;746;Temuco;CL;Temuco;-72.6193641;-38.734906;8586813830
node;www.sii.cl, Cartografía Digital SII Mapas;;Escuela Especial El Castillo Del Lenguaje;school;Hochstetter;Región de La Araucanía;376;Temuco;CL;Temuco;-72.6126728;-38.7322468;8586833876
node;www.sii.cl, Cartografía Digital SII Mapas;;Colegio de Educacion de Adultos Horizonte;school;Trizano;Región de La Araucanía;440;Temuco;CL;Temuco;-72.6072853;-38.7350726;8586921698
